name;host;comment;cleanliness;communication;checkin;accuracy;location;cost-effectivenes
강남별채;one@gmail.com;;3.0;4.0;5.0;1.0;2.0;2
강남아파트;one@gmail.com;;3;4;5;1;2;2
강남호텔;one@gmail.com;;3;4;5;1;2;2
선릉아파트;one@gmail.com;;1;2;5;2;3;4
선릉위워크2호점;one@gmail.com;;3;4;5;1;2;2
선릉호텔;one@gmail.com;;1;2;5;2;3;4
성수아파트;one@gmail.com;;1;2;5;2;3;4
성수호텔;one@gmail.com;;1;2;5;2;3;4
신림별채;one@gmail.com;;3;4;5;1;2;2
신림아파트;one@gmail.com;;1;2;5;2;3;4
신림주택;two@gmail.com;;1;2;5;2;3;4
신촌별채;two@gmail.com;;1;2;5;2;3;4
신촌아파트;two@gmail.com;;3;4;5;1;2;2
신촌호텔;two@gmail.com;;1;2;5;2;3;4
이태원별채;two@gmail.com;;5;5;5;5;5;5
이태원아파트;two@gmail.com;;5;5;5;5;5;5
이태원주택;two@gmail.com;;3;4;5;1;2;2
잠실아파트;two@gmail.com;;2;3;4;5;3;1
잠실주택;two@gmail.com;;2;3;4;5;3;1
잠실호텔;two@gmail.com;;3;4;2;5;1;3
잠실호텔;two@gmail.com;;5;5;5;5;5;5
잠실주택;two@gmail.com;;5;5;5;5;5;5
잠실아파트;two@gmail.com;;5;5;5;5;5;5
이태원주택;two@gmail.com;;3;4;5;1;2;2
이태원아파트;two@gmail.com;;2;3;4;5;3;1
이태원별채;two@gmail.com;;5;5;5;5;5;5
신촌호텔;two@gmail.com;;3;4;5;1;2;2
신촌아파트;two@gmail.com;;2;3;4;5;3;1
신촌별채;two@gmail.com;;2;3;4;5;3;1
신림주택;two@gmail.com;;1;2;5;2;3;4
신림아파트;one@gmail.com;;2;3;4;5;3;1
신림별채;one@gmail.com;;2;3;4;5;3;1
성수호텔;one@gmail.com;;3;4;5;1;2;2
성수아파트;one@gmail.com;;2;3;4;5;3;1
선릉호텔;one@gmail.com;;2;3;4;5;3;1
선릉위워크2호점;one@gmail.com;;3;4;5;1;2;2
선릉아파트;one@gmail.com;;1;2;5;2;3;4
강남호텔;one@gmail.com;;2;3;4;5;3;1
강남아파트;one@gmail.com;;1;2;5;2;3;4
강남별채;one@gmail.com;;1;2;5;2;3;4
